Incubation_Center,Name_of_startup,Location of company,Sector,City,State
ABES Ghaziabad,Suryansh,New Delhi,EdTech,New Delhi,
AIC Banasthali Vidyapith Foundation,Thinkpods Education Services Private Limited (previously That Mate),"Satara, Maharashtra",Ed Tech,Satara,Maharashtra
AIC Banasthali Vidyapith Foundation,Inventiway Solutions Pvt.Ltd.,"Mumbai, Maharashtra",HR Tech,Mumbai,Maharashtra
AIC Banasthali Vidyapith Foundation,C2M Internet India Pvt. Ltd.,"Lucknow, Uttar Pradesh",Retail Tech,Lucknow,Uttar Pradesh
AIC Pinnacle Entrepreneurship Forum,Wastinno,"Pune, Maharashtra",agriculture,Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Diabetico - Rise and Move,"Pune, Maharashtra",Healthcare,Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,3DGuru Innovations,"Pune, Maharashtra",EduTech,Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Gupte Education,"Pune, Maharashtra","Ed Tech, Defence",Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Eldew Digital Pvt Ltd,"Pune, Maharashtra","IT, Virtual Events",Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Secumatic Technologies LLP,"Pune, Maharashtra",Defense,Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Catalystgreen Private Limited,"Pune, Maharashtra",E-Mobility,Pune,Maharashtra
AIC Pinnacle Entrepreneurship Forum,Dynateq Consulting Pvt.Ltd.,"Pune, Maharashtra",Industril Automation,Pune,Maharashtra
AIC@36Inc,TECHB,Bhilai,3d printer and cnc manufacturing,Bhilai,Chhattisgarh
AIC@36Inc,Acculegal Services Private Limited,Raipur,"Finance, Legal , consultancy, accounting",Raipur,Chhattisgarh
AIC@36Inc,Bastar Se Bazar Tak Private Limited,Uttar Bastar,Agri-business,Uttar Bastar,
AIC@36Inc,Coshal Art,Raipur,Handicraft,Raipur,Chhattisgarh
AIC@36Inc,Jivandeep,Raipur,Healthcare,Raipur,Chhattisgarh
AIC@36Inc,Binomial Analytics,Raipur,IT and Technology Innovation,Raipur,Chhattisgarh
AIC@36Inc,Rawfit,Raipur,Heathcare & Wellness,Raipur,Chhattisgarh
AIC@36Inc,WedNicely,Raipur,eInvitations & Wedding Technology,Raipur,Chhattisgarh
Amity Technology Incubator,Plabs Solutions Pvt. Ltd.,"Ghaziabad, Uttar Pradesh",Healthtech,Ghaziabad,Uttar Pradesh
Amity University Haryana,nanoLatticeX,"Gurugram, Haryana",nanotechnology,Gurugram,Haryana
Amity University Haryana,NanoMask (It is our first product. Actual startup name to be revealed soon after trademark registration),"Gurugram, Haryana",Face Mask,Gurugram,Haryana
Atal Incubation Centre ALEAP We Hub,Neoinventronix Pvt Ltd,"Hyderabad, Telangana",ICT Electronics,Hyderabad,Telangana
Atal Incubation Centre ALEAP We Hub,Binford Research Lab Pvt Ltd,"Hyderabad, Telangana",ICT Electronics,Hyderabad,Telangana
Atal Incubation Centre ALEAP We Hub,Nimaya Robotics Pvt Ltd,"Chennai, Tamilnadu",ICT Electronics,Chennai,Tamilnadu
Atal Incubation Centre ALEAP We Hub,Rmatics Solutions LLP,"Hyderabad, Telangana",ICT Electronics,Hyderabad,Telangana
Atal Incubation Centre ALEAP We Hub,Eurth Techtronics Private Limited,"Vijayawada, Andhra Pradesh",ICT Electronics,Vijayawada,Andhra Pradesh
BEA,Ozzie Technologies,"Kolkata, West Bengal",Information Technologies,Kolkata,West Bengal
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Predible Health Pvt Ltd,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Personal Air Quality Systems Private Limited,"Bengaluru, Karnataka","Product designer & Entrepreneur, Innovator, Technologist, Air Quality solutions",Bengaluru,Karnataka
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Salcit Technologies Private Limited,"Hyderabad, Telangana",Digital Health,Hyderabad,Telangana
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),AgSmartic Technologies Pvt Ltd,New Delhi,Agritech,New Delhi,
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Aikenist Technologies Pvt Ltd,"Bengaluru, Karnataka",Digital Health,Bengaluru,Karnataka
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),ARQ Solution LLP,"Mumbai, Maharashtra",Healthcare,Mumbai,Maharashtra
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Xensible Innovation Lab Pvt. Ltd.,"Bengaluru, Karnataka",Digital Health,Bengaluru,Karnataka
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Sensai Healthcare Private Limited,"Bengaluru, Karnataka",Digital Health,Bengaluru,Karnataka
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Rekindle Automations Pvt Ltd,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Hivericks Technologies Pvt Ltd,"Chennai, Tamilnadu",Clean Tech,Chennai,Tamilnadu
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Retail CRM,Chennai,Tamilnadu
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Nandha Infotech,"Coimbatore, Tamil Nadu",Agriculture,Coimbatore,Tamil Nadu
Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,"Bengaluru, Karnataka",Aerospace and defence,Bengaluru,Karnataka
Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics,Karnal,
Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT,Chandigarh,Haryana
Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chandigarh,AR/VR,Chandigarh,Haryana
Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,"Delhi, Delhi",Healthcare,Delhi,Delhi
Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT,Chandigarh,Haryana
CIIE Initiatives,GalaxEye,"Chennai, Tamilnadu",Smart infrastructure,Chennai,Tamilnadu
CIIE Initiatives,Extrawatts Renewables Pvt Ltd.,New Delhi,Cleantech and Environment,New Delhi,
CIIE Initiatives,Urban Air Labs,"Delhi, Delhi",Clean tech,Delhi,Delhi
CIIE Initiatives,Nunam Technology India Private Limited,"Bengaluru, Karnataka",Cleantech,Bengaluru,Karnataka
CIIE Initiatives,Kidaura,"Nashik , Maharashtra",Healthcare,Nashik,Maharashtra
CIIE Initiatives,Aiborne Tech,"Delhi, Delhi",Skilling & Edtech,Delhi,Delhi
CIIE Initiatives,Pacify Medical,"Mumbai, Maharashtra",Healthcare,Mumbai,Maharashtra
CIIE Initiatives,Evoluto,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare,Ahmedabad,Gujarat
CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining,Raipur,Chhattisgarh
CIIE Initiatives,Godaam Innovations Pvt. Ltd.,"Nashik , Maharashtra",Agritech,Nashik,Maharashtra
CIIE Initiatives,Articulus Surgical,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
CTIE,Encephalon Solutions,"Hubli, Karnataka",Medical,Hubli,Karnataka
DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare,Madhurai,
DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare,Bhubaneswar,Odisha
DERBI Foundation,Fititout Solutions,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
DERBI Foundation,Carbon Hubs Private Limited,"Bengaluru, Karnataka",Clean and Health Tech,Bengaluru,Karnataka
DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
DERBI Foundation,Acculi Labs Pvt Ltd.,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
FIRST SIIC IIT Kanpur,WeRehab Technologies Pvt. Ltd.,"Kanpur, Uttar Pradesh",Health Tech,Kanpur,Uttar Pradesh
FIRST SIIC IIT Kanpur,Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce,Kanpur,Uttar Pradesh
"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation",Visakhapatnam,Andhra Pradesh
"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility,New Delhi,
